model	var_name1	var_val1	var_name2	var_val2	value
SEV	platform	Carvana			0.111009020028615
SEV	platform	Carvana	recovery_lag_bkt	1	-0.0591049360916115
SEV	platform	Carvana	recovery_lag_bkt	13+	-0.340109701646451
SEV	platform	Carvana	recovery_lag_bkt	2-3	-0.21613853404675
SEV	platform	Carvana	recovery_lag_bkt	4-6	-0.271410108404126
SEV	platform	Carvana	recovery_lag_bkt	7-12	-0.131695910516178
SEV	platform	Drive			0.14760685459154
SEV	platform	Drive	recovery_lag_bkt	1	0.113324277930204
SEV	platform	Drive	recovery_lag_bkt	13+	-0.13900830425765
SEV	platform	Drive	recovery_lag_bkt	2-3	-0.194637049232231
SEV	platform	Drive	recovery_lag_bkt	4-6	-0.395222066592777
SEV	platform	Drive	recovery_lag_bkt	7-12	-0.0876972521848732
SEV	platform	Exeter			0.075495758942447
SEV	platform	Exeter	recovery_lag_bkt	1	-0.281817480007149
SEV	platform	Exeter	recovery_lag_bkt	13+	-1.37693041877605
SEV	platform	Exeter	recovery_lag_bkt	2-3	-0.451048600162544
SEV	platform	Exeter	recovery_lag_bkt	4-6	-0.633218779188851
SEV	platform	Exeter	recovery_lag_bkt	7-12	-0.826678671467305
SEV	platform	Santander Drive			0.257076864166872
SEV	platform	Santander Drive	recovery_lag_bkt	1	0.131689805855857
SEV	platform	Santander Drive	recovery_lag_bkt	13+	-0.304805038558787
SEV	platform	Santander Drive	recovery_lag_bkt	2-3	-0.16324214436398
SEV	platform	Santander Drive	recovery_lag_bkt	4-6	-0.362701715193616
SEV	platform	Santander Drive	recovery_lag_bkt	7-12	-0.154632368148649
SEV	recovery_lag_bkt	1			-0.191112211053731
SEV	recovery_lag_bkt	13+			-0.979372783463181
SEV	recovery_lag_bkt	2-3			-0.0932229084405288
SEV	recovery_lag_bkt	4-6			-0.187835858464716
SEV	recovery_lag_bkt	7-12			-0.577785632388182
SEV	term_bkt	<=60			0.0955457242514024
SEV	term_bkt	67-71			-0.0948868756163705
SEV	term_bkt	72			-0.0753229311355926
SEV	term_bkt	73+			-0.15624249941358
SEV	vehtype_f	Missing			-0.0305686655571122
SEV	vehtype_f	Other			-0.0612664849577283
SEV	vehtype_f	SUV			-0.0188650786748367
SEV	vehtype_f	Truck			0.14898402637035
SEV	intercept	intercept			0.0628792126931755
