Status	C	D1M	D2M	D3M	D4M	PIF	LIQ
C	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.1833	1.0	1.0	1.0	1.0	1.0
	1.0	0.9132	1.0	1.0	1.0	1.0	1.0
	1.0	1.3109	1.0	1.0	1.0	1.0	1.0
	1.0	1.1199	1.0	1.0	1.0	1.0	1.0
	1.0	1.2894	1.0	1.0	1.0	1.0	1.0
	1.0	1.0463	1.0	1.0	1.0	1.0	1.0
	1.0	0.9964	1.0	1.0	1.0	1.0	1.0
	1.0	1.1378	1.0	1.0	1.0	1.0	1.0
	1.0	1.0427	1.0	1.0	1.0	1.0	1.0
	1.0	1.2402	1.0	1.0	1.0	1.0	1.0
	1.0	1.0126	1.0	1.0	1.0	1.0	1.0
	1.0	1.0324	1.0	1.0	1.0	1.0	1.0
	1.0	1.1244	1.0	1.0	1.0	1.0	1.0
	1.0	1.0835	1.0	1.0	1.0	1.0	1.0
	1.0	1.3668	1.0	1.0	1.0	1.0	1.0
	1.0	0.9660	1.0	1.0	1.0	1.0	1.0
	1.0	1.3206	1.0	1.0	1.0	1.0	1.0
	1.0	1.1158	1.0	1.0	1.0	1.0	1.0
	1.0	1.0770	1.0	1.0	1.0	1.0	1.0
	1.0	1.2648	1.0	1.0	1.0	1.0	1.0
	1.0	1.0243	1.0	1.0	1.0	1.0	1.0
	1.0	1.4426	1.0	1.0	1.0	1.0	1.0
	1.0	1.0082	1.0	1.0	1.0	1.0	1.0
	1.0	0.9830	1.0	1.0	1.0	1.0	1.0
	1.0	1.4279	1.0	1.0	1.0	1.0	1.0
	1.0	1.0985	1.0	1.0	1.0	1.0	1.0
	1.0	1.2698	1.0	1.0	1.0	1.0	1.0
	1.0	1.1254	1.0	1.0	1.0	1.0	1.0
	1.0	1.3967	1.0	1.0	1.0	1.0	1.0
	1.0	1.1229	1.0	1.0	1.0	1.0	1.0
	1.0	1.5389	1.0	1.0	1.0	1.0	1.0
	1.0	1.3316	1.0	1.0	1.0	1.0	1.0
	1.0	1.3542	1.0	1.0	1.0	1.0	1.0
	1.0	1.4495	1.0	1.0	1.0	1.0	1.0
	1.0	0.9914	1.0	1.0	1.0	1.0	1.0
	1.0	1.1362	1.0	1.0	1.0	1.0	1.0
	1.0	1.4552	1.0	1.0	1.0	1.0	1.0
	1.0	1.1190	1.0	1.0	1.0	1.0	1.0
	1.0	1.4415	1.0	1.0	1.0	1.0	1.0
	1.0	1.1775	1.0	1.0	1.0	1.0	1.0
	1.0	1.2897	1.0	1.0	1.0	1.0	1.0
	1.0	1.0996	1.0	1.0	1.0	1.0	1.0
	1.0	1.5238	1.0	1.0	1.0	1.0	1.0
	1.0	1.1683	1.0	1.0	1.0	1.0	1.0
	1.0	1.3546	1.0	1.0	1.0	1.0	1.0
	1.0	1.9191	1.0	1.0	1.0	1.0	1.0
	1.0	1.0987	1.0	1.0	1.0	1.0	1.0
	1.0	1.3148	1.0	1.0	1.0	1.0	1.0
	1.0	2.0096	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
	1.0	1.0000	1.0	1.0	1.0	1.0	1.0
