vint_moyy,fico_bkt,fico_bkt_coupon
201008,660-700,0.0839
201010,580-620,0.0995
201010,660-700,0.08923333333333333
201011,660-700,0.039
201012,660-700,0.09102
201101,540-580,0.1645
201101,620-660,0.10783333333333334
201101,660-700,0.08515
201101,700-740,0.05740000000000001
201101,740+,0.0852
201102,620-660,0.11283333333333334
201102,660-700,0.07580769230769231
201102,700-740,0.06922500000000001
201102,740+,0.06011999999999999
201103,540-580,0.1595
201103,580-620,0.0825
201103,620-660,0.1045
201103,660-700,0.07266
201103,700-740,0.061270000000000005
201103,740+,0.06268
201104,580-620,0.1285
201104,620-660,0.12275
201104,660-700,0.0702125
201104,700-740,0.07295217391304347
201104,740+,0.0516
201104,<540,0.1475
201105,540-580,0.1295
201105,580-620,0.1251
201105,620-660,0.0942
201105,660-700,0.0692875
201105,700-740,0.04806774193548387
201105,740+,0.04581875
201106,540-580,0.1255
201106,580-620,0.1195
201106,620-660,0.08446000000000001
201106,660-700,0.06189350649350649
201106,700-740,0.05121764705882353
201106,740+,0.04322769230769231
201106,<540,0.0695
201107,540-580,0.127
201107,580-620,0.1111
201107,620-660,0.09101000000000001
201107,660-700,0.05545
201107,700-740,0.04716373626373627
201107,740+,0.04282987804878049
201107,<540,0.1095
201108,540-580,0.13583333333333333
201108,580-620,0.09783333333333333
201108,620-660,0.0963
201108,660-700,0.05910672268907564
201108,700-740,0.04753963963963964
201108,740+,0.04229747474747475
201109,540-580,0.1413
201109,580-620,0.11814285714285715
201109,620-660,0.09112105263157894
201109,660-700,0.058352499999999995
201109,700-740,0.050426470588235295
201109,740+,0.042072549019607844
201109,<540,0.11616666666666665
201110,540-580,0.1255
201110,580-620,0.12516666666666668
201110,620-660,0.08864761904761904
201110,660-700,0.056888372093023255
201110,700-740,0.047820967741935484
201110,740+,0.040108988764044944
201111,540-580,0.09133333333333334
201111,580-620,0.11133333333333334
201111,620-660,0.08981935483870969
201111,660-700,0.04977836879432624
201111,700-740,0.03529815498154981
201111,740+,0.025929577464788734
201111,<540,0.1245
201112,540-580,0.13433333333333333
201112,580-620,0.10965384615384616
201112,620-660,0.094314
201112,660-700,0.047773654390934846
201112,700-740,0.03859842105263158
201112,740+,0.02736251497005988
201112,<540,0.1025
201201,540-580,0.13370833333333335
201201,580-620,0.11408275862068966
201201,620-660,0.09192368421052632
201201,660-700,0.05807545454545455
201201,700-740,0.04725114006514658
201201,740+,0.03584941176470589
201201,<540,0.1295
201202,540-580,0.13505
201202,580-620,0.1286313725490196
201202,620-660,0.08569186046511629
201202,660-700,0.059471972789115646
201202,700-740,0.04905269978401728
201202,740+,0.03827435549525102
201202,<540,0.1301357142857143
201203,540-580,0.1401653846153846
201203,580-620,0.11931704545454545
201203,620-660,0.0955543046357616
201203,660-700,0.054606384892086336
201203,700-740,0.04154174135723431
201203,740+,0.03014425675675676
201203,<540,0.12743529411764706
201204,540-580,0.12993125
201204,580-620,0.11695577889447237
201204,620-660,0.0968165191740413
201204,660-700,0.05708366464995678
201204,700-740,0.04347416387959866
201204,740+,0.03067067901234568
201204,<540,0.11197857142857144
201205,540-580,0.12719757575757576
201205,580-620,0.11568282548476454
201205,620-660,0.09949103773584905
201205,660-700,0.06574777353689568
201205,700-740,0.05125296343001261
201205,740+,0.037038920780711825
201205,<540,0.1238093023255814
201206,540-580,0.12513513513513513
201206,580-620,0.11416331658291456
201206,620-660,0.09436515625
201206,660-700,0.06611012916383413
201206,700-740,0.05282416212003117
201206,740+,0.036703512084592146
201206,<540,0.12722340425531914
201207,540-580,0.11632258064516128
201207,580-620,0.10914008097165992
201207,620-660,0.0883703007518797
201207,660-700,0.06264870588235294
201207,700-740,0.04814432186891628
201207,740+,0.03277139423076923
201207,<540,0.12023076923076922
201208,540-580,0.10787206477732794
201208,580-620,0.10803432494279176
201208,620-660,0.08607484355444305
201208,660-700,0.06106324324324324
201208,700-740,0.04496982922201139
201208,740+,0.02979678253375467
201208,<540,0.08033928571428571
201209,540-580,0.10832666666666667
201209,580-620,0.1049997668997669
201209,620-660,0.08514228723404256
201209,660-700,0.06048923476005188
201209,700-740,0.044124130737134906
201209,740+,0.029341982323232322
201209,<540,0.0923392523364486
201210,540-580,0.1080164835164835
201210,580-620,0.10439859813084112
201210,620-660,0.0858053876478318
201210,660-700,0.05920408945686901
201210,700-740,0.043133379597501735
201210,740+,0.027760968137254902
201210,<540,0.08185194805194805
201211,540-580,0.10292893617021277
201211,580-620,0.10552279792746114
201211,620-660,0.08433401015228427
201211,660-700,0.05754054534676941
201211,700-740,0.04101284403669725
201211,740+,0.02487353805073431
201211,<540,0.07882884615384615
201212,540-580,0.09360442804428044
201212,580-620,0.09949132653061224
201212,620-660,0.08029931972789116
201212,660-700,0.053579867256637166
201212,700-740,0.03814918140144073
201212,740+,0.02233231315147483
201212,<540,0.05787964071856288
201301,540-580,0.09908118279569894
201301,580-620,0.10371799410029499
201301,620-660,0.081520700152207
201301,660-700,0.055538791540785504
201301,700-740,0.04073689530685921
201301,740+,0.02397866554527614
201301,<540,0.08175217391304349
201302,540-580,0.11242090592334496
201302,580-620,0.10998466257668711
201302,620-660,0.08431083550913837
201302,660-700,0.05737137276785714
201302,700-740,0.04121051893408134
201302,740+,0.024706679184549354
201302,<540,0.08238013245033113
201303,540-580,0.1058391061452514
201303,580-620,0.10596392617449664
201303,620-660,0.08460412796697628
201303,660-700,0.05872132851333032
201303,700-740,0.041767695700110255
201303,740+,0.025064651263226084
201303,<540,0.07911011235955057
201304,540-580,0.0987737160120846
201304,580-620,0.10539332096474954
201304,620-660,0.0834543630892678
201304,660-700,0.058491393078970715
201304,700-740,0.04086820895522388
201304,740+,0.02416651289578528
201304,<540,0.07932941176470588
201305,540-580,0.10248556701030928
201305,580-620,0.09847013651877133
201305,620-660,0.07638381665107578
201305,660-700,0.05581785714285714
201305,700-740,0.039117945205479454
201305,740+,0.02183772635814889
201305,<540,0.07351590909090909
201306,540-580,0.0975888524590164
201306,580-620,0.0997027633851468
201306,620-660,0.07791761308950915
201306,660-700,0.056480463718334054
201306,700-740,0.04110378071833649
201306,740+,0.022300961712937762
201306,<540,0.07303854748603351
201307,540-580,0.1001318493150685
201307,580-620,0.10149643527204502
201307,620-660,0.07684248120300752
201307,660-700,0.05482472910216719
201307,700-740,0.038315105485232065
201307,740+,0.021124481845098957
201307,<540,0.07115530726256984
201308,540-580,0.09865403726708075
201308,580-620,0.10153547297297298
201308,620-660,0.07858532360984503
201308,660-700,0.055889992877492876
201308,700-740,0.03802207792207792
201308,740+,0.021225622723962126
201308,<540,0.07121756756756757
201309,540-580,0.09112879256965944
201309,580-620,0.10356672967863895
201309,620-660,0.08022716942148761
201309,660-700,0.05526807708420612
201309,700-740,0.038214627414903404
201309,740+,0.02208537638121547
201309,<540,0.06676636363636364
201310,540-580,0.09453589743589744
201310,580-620,0.10684780793319416
201310,620-660,0.0775873417721519
201310,660-700,0.056862288135593214
201310,700-740,0.03931965185524507
201310,740+,0.024223202385128026
201310,<540,0.0679807531380753
201311,540-580,0.0954540625
201311,580-620,0.1053421550094518
201311,620-660,0.07907989528795811
201311,660-700,0.058755555555555554
201311,700-740,0.04187714687939934
201311,740+,0.025809769687964338
201311,<540,0.07362510822510823
201312,540-580,0.07990302267002519
201312,580-620,0.09700840950639854
201312,620-660,0.07725591623036648
201312,660-700,0.056036322314049584
201312,700-740,0.03926455094991364
201312,740+,0.023583742236024843
201312,<540,0.05988861538461538
201401,540-580,0.09438275862068965
201401,580-620,0.1001576064908722
201401,620-660,0.07917721639656816
201401,660-700,0.056876979293544454
201401,700-740,0.04059870729455217
201401,740+,0.023697680055401665
201401,<540,0.07373820754716981
201402,540-580,0.10289729064039409
201402,580-620,0.10346510172143975
201402,620-660,0.07947708688245315
201402,660-700,0.05869602977667494
201402,700-740,0.04149353544360231
201402,740+,0.025861392949269132
201402,<540,0.07828483606557378
201403,540-580,0.09624961439588689
201403,580-620,0.10158533501896333
201403,620-660,0.07863459563543003
201403,660-700,0.05813840283455982
201403,700-740,0.04139723916532906
201403,740+,0.024757457150166282
201403,<540,0.08187884615384615
201404,540-580,0.08877280701754385
201404,580-620,0.09835483333333334
201404,620-660,0.07776221877424361
201404,660-700,0.0562865366165654
201404,700-740,0.040737766888344414
201404,740+,0.024472244039270688
201404,<540,0.06735617021276595
201405,540-580,0.08625809768637532
201405,580-620,0.09370413589364845
201405,620-660,0.07676049300466356
201405,660-700,0.05582570742124933
201405,700-740,0.03778101714961561
201405,740+,0.02243280315848844
201405,<540,0.06727423076923077
201406,540-580,0.07737963917525773
201406,580-620,0.09411397306397307
201406,620-660,0.07485348484848485
201406,660-700,0.05545972144846797
201406,700-740,0.03800245319561007
201406,740+,0.02240512356841471
201406,<540,0.0574965625
201407,540-580,0.0766497461928934
201407,580-620,0.09473544520547945
201407,620-660,0.07449993569131833
201407,660-700,0.0489846357615894
201407,700-740,0.0324447
201407,740+,0.018653519351935193
201407,<540,0.05415506493506493
201408,540-580,0.0791544757033248
201408,580-620,0.0974159420289855
201408,620-660,0.07707310972143262
201408,660-700,0.05169470956596847
201408,700-740,0.03267933458294283
201408,740+,0.01861431926851774
201408,<540,0.05682245508982036
201409,540-580,0.08026383495145631
201409,580-620,0.09962400611620795
201409,620-660,0.07754696586599241
201409,660-700,0.05473586797066014
201409,700-740,0.03509670494258612
201409,740+,0.021257786062517926
201409,<540,0.058621463414634145
201410,540-580,0.0765426724137931
201410,580-620,0.09647589285714286
201410,620-660,0.07752950310559006
201410,660-700,0.05725852396514161
201410,700-740,0.03876916451335056
201410,740+,0.023534487903655546
201410,<540,0.05571058201058201
201411,540-580,0.07717299270072993
201411,580-620,0.09815969899665553
201411,620-660,0.07819272959183673
201411,660-700,0.05844474909467149
201411,700-740,0.03811285433623351
201411,740+,0.023712542027508915
201411,<540,0.05635782122905028
201412,540-580,0.0607046511627907
201412,580-620,0.09792059800664452
201412,620-660,0.07920851370851371
201412,660-700,0.05617936788874842
201412,700-740,0.034342316203589865
201412,740+,0.02229013785790032
201412,<540,0.051183436532507745
201501,540-580,0.07685479115479116
201501,580-620,0.1008644094488189
201501,620-660,0.07995654911838791
201501,660-700,0.05833194410394705
201501,700-740,0.03851918337762745
201501,740+,0.024227653767423727
201501,<540,0.05931230366492146
201502,540-580,0.08570000000000001
201502,580-620,0.1001904109589041
201502,620-660,0.08092105868814731
201502,660-700,0.05806684759009987
201502,700-740,0.038987118162443754
201502,740+,0.02457485398094067
201502,<540,0.06376390134529149
201503,540-580,0.08160158172231986
201503,580-620,0.09989698924731183
201503,620-660,0.07985846294602013
201503,660-700,0.056340555190538766
201503,700-740,0.037036164007548465
201503,740+,0.022103669857847404
201503,<540,0.057416666666666664
201504,540-580,0.07245963963963964
201504,580-620,0.10191586608442503
201504,620-660,0.0764165161975571
201504,660-700,0.05589036526276556
201504,700-740,0.03627003108429329
201504,740+,0.02182851556509738
201504,<540,0.04996242661448141
201505,540-580,0.06946934156378602
201505,580-620,0.09943841807909605
201505,620-660,0.07468444142921754
201505,660-700,0.05389909341104096
201505,700-740,0.03148888583596648
201505,740+,0.018707232084155163
201505,<540,0.05292247422680413
201506,540-580,0.06876359832635984
201506,580-620,0.09900481727574752
201506,620-660,0.07522423312883435
201506,660-700,0.054405497872340426
201506,700-740,0.032373118443059144
201506,740+,0.01980987328405491
201506,<540,0.04991606606606607
201507,540-580,0.06570964125560538
201507,580-620,0.1021291296625222
201507,620-660,0.07543355704697986
201507,660-700,0.05400146217418945
201507,700-740,0.032968091246392744
201507,740+,0.019844754757437685
201507,<540,0.049969970845481056
201508,540-580,0.07459089219330856
201508,580-620,0.10406814921090388
201508,620-660,0.07527132125497128
201508,660-700,0.05524996380483567
201508,700-740,0.03191908207099254
201508,740+,0.019217221431114276
201508,<540,0.050072248062015504
201509,540-580,0.07182038095238095
201509,580-620,0.10066783919597991
201509,620-660,0.07799037639007698
201509,660-700,0.055226953467954344
201509,700-740,0.033392126496616346
201509,740+,0.02064785433164209
201509,<540,0.05216973500697351
201510,540-580,0.0677096062992126
201510,580-620,0.10344662721893491
201510,620-660,0.07724732824427481
201510,660-700,0.05672106211869107
201510,700-740,0.03753295504146661
201510,740+,0.022317727562062382
201510,<540,0.052110728476821196
201511,540-580,0.07166260162601626
201511,580-620,0.10371887755102041
201511,620-660,0.07660833001195695
201511,660-700,0.0566036805353506
201511,700-740,0.03582352442812765
201511,740+,0.02155282297639341
201511,<540,0.056016639477977165
201512,540-580,0.06023535825545172
201512,580-620,0.1014749054224464
201512,620-660,0.07764198830409356
201512,660-700,0.05709384511784512
201512,700-740,0.03604253117537808
201512,740+,0.02305793654568806
201512,<540,0.0508374062165059
201601,540-580,0.07609975845410628
201601,580-620,0.10546304878048782
201601,620-660,0.0788185347985348
201601,660-700,0.05983483146067416
201601,700-740,0.03928685410334347
201601,740+,0.025165721715188907
201601,<540,0.057893388429752064
201602,540-580,0.07579574468085107
201602,580-620,0.10585550193050193
201602,620-660,0.08127627176510754
201602,660-700,0.061434883720930235
201602,700-740,0.04190180483696306
201602,740+,0.02630364404128871
201602,<540,0.05683164362519201
201603,540-580,0.06907176470588235
