platform	lag_bucket	prob
CarMax	0	0.22453493047766185
CarMax	1	0.4071765676916891
CarMax	2	0.0722206937419314
CarMax	3	0.03482465979555988
CarMax	4	0.022211170133965417
CarMax	5	0.014391229815242006
CarMax	6	0.010359569109648473
CarMax	7	0.007502486719857781
CarMax	8	0.005872891579014201
CarMax	9	0.004476095744005418
CarMax	10	0.0035766438805527926
CarMax	11	0.0026983555903578762
CarMax	12	0.0023703202048633893
CarMax	13+	0.01593617066305475
CarMax	never	0.17184821485259572
Carvana	0	0.19909611815027037
Carvana	1	0.34646114115083526
Carvana	2	0.0744895488661125
Carvana	3	0.04132031313049794
Carvana	4	0.022032120087160035
Carvana	5	0.017754822048260833
Carvana	6	0.014365265111774675
Carvana	7	0.010087967072875475
Carvana	8	0.009765152126543459
Carvana	9	0.008796707287547414
Carvana	10	0.00702122508272133
Carvana	11	0.005487854087644258
Carvana	12	0.004358001775482205
Carvana	13+	0.02848841901380034
Carvana	never	0.2104753450084739
Hyundai	0	0.09471708915110842
Hyundai	1	0.3538373461403899
Hyundai	2	0.14840494895200534
Hyundai	3	0.07006774593683407
Hyundai	4	0.04153811901657072
Hyundai	5	0.02687573550459591
Hyundai	6	0.017620304697687734
Hyundai	7	0.013421964950224229
Hyundai	8	0.011195572659902675
Hyundai	9	0.008523901911516809
Hyundai	10	0.007537928182945835
Hyundai	11	0.006265704017047804
Hyundai	12	0.005375147100919182
Hyundai	13+	0.03549505422855507
Hyundai	never	0.15912343754969627
Toyota	0	0.2567201876240303
Toyota	1	0.32267725058632507
Toyota	2	0.19278369114198088
Toyota	3	0.06718383546815804
Toyota	4	0.029009561609236876
Toyota	5	0.013891394551686812
Toyota	6	0.009128630705394191
Toyota	7	0.006891574959408263
Toyota	8	0.004979253112033195
Toyota	9	0.0038968067833303264
Toyota	10	0.0031390943532383186
Toyota	11	0.00263395273317698
Toyota	12	0.002814360454627458
Toyota	13+	0.016886162727764747
Toyota	never	0.06736424318960851
