platform	lag_bucket	prob
Bridgecrest	0	0.3330191073565135
Bridgecrest	1	0.5211558681701172
Bridgecrest	2	0.0353504223922265
Bridgecrest	3	0.0171494869656647
Bridgecrest	4	0.0105869982959283
Bridgecrest	5	0.0072151118523621
Bridgecrest	6	0.0048584170262136
Bridgecrest	7	0.0036256843479206
Bridgecrest	8	0.0019216127043979
Bridgecrest	9	0.0019216127043979
Bridgecrest	10	0.001232732678293
Bridgecrest	11	0.0010877053043762
Bridgecrest	12	0.0010151916174177
Bridgecrest	13+	0.0029005474783365
Bridgecrest	never	0.0569595011058337
Carvana	0	0.1582532946169309
Carvana	1	0.3625195443377261
Carvana	2	0.0958603231330504
Carvana	3	0.0501451865088228
Carvana	4	0.0284044374953465
Carvana	5	0.0215918397736579
Carvana	6	0.0164916983098801
Carvana	7	0.0130295584841039
Carvana	8	0.0109448291266473
Carvana	9	0.009009009009009
Carvana	10	0.0091579182488273
Carvana	11	0.0067009157918248
Carvana	12	0.004988459533914
Carvana	13+	0.0413967686694959
Carvana	never	0.1715062169607624
Drive	0	0.2656805788400982
Drive	1	0.251359401114386
Drive	2	0.114956899558017
Drive	3	0.0820858702362839
Drive	4	0.0493233346852001
Drive	5	0.0263639862677884
Drive	6	0.0159124196952358
Drive	7	0.0116294989396025
Drive	8	0.00850126188588
Drive	9	0.007070177387315
Drive	10	0.0058509140600177
Drive	11	0.0054091894223739
Drive	12	0.0047375613183543
Drive	13+	0.0357874452041878
Drive	never	0.1153314613852588
Exeter	0	0.3948705474319388
Exeter	1	0.2129582040246232
Exeter	2	0.1119895166764097
Exeter	3	0.0465825228243768
Exeter	4	0.0342041972528356
Exeter	5	0.015697521588506
Exeter	6	0.0104558597933937
Exeter	7	0.0080351222727468
Exeter	8	0.0066344686343823
Exeter	9	0.0099144306558747
Exeter	10	0.0093023803265053
Exeter	11	0.0086393258030218
Exeter	12	0.0077840247017235
Exeter	13+	0.0616836876817024
Exeter	never	0.0612481903319588
Santander Drive	0	0.2120853106372599
Santander Drive	1	0.2686875638381511
Santander Drive	2	0.1310345428371689
Santander Drive	3	0.0798485960506915
Santander Drive	4	0.0466821584209735
Santander Drive	5	0.0277348862836994
Santander Drive	6	0.0190692315901117
Santander Drive	7	0.0139447567235593
Santander Drive	8	0.0100660105538483
Santander Drive	9	0.0083847123825868
Santander Drive	10	0.0075331740600955
Santander Drive	11	0.0067143034481857
Santander Drive	12	0.006178552994649
Santander Drive	13+	0.041511948759607
Santander Drive	never	0.120524251419412
