model	var_name1	var_val1	var_name2	var_val2	value
D1M	intercept	intercept			-3.43067637835145
D1M	purpose	CC			-0.0643250376377649
D1M	purpose	Home Improvement			0.00332256129685177
D1M	purpose	Medical			-0.140606746832105
D1M	purpose	Vehicle			-0.167079851758092
D1M	purpose	Business			0.17643680073367
D1M	purpose	Vacation			-0.0312149158934983
D1M	purpose	Missing			0.0184359385088424
D1M	hm_owner	Own			-0.0222348792667891
D1M	hm_owner	Mortgage			-0.170706382088431
D1M	hm_owner	Missing			-0.103850174178363
D1M	employed_f	Yes			-0.236871089391214
D1M	employed_f	Missing			-0.522070591595297
D1M	month	February			-0.165257239908894
D1M	month	March			0.105143301447013
D1M	month	April			-0.147425591391155
D1M	month	May			0.0273267414131961
D1M	month	June			-0.0497370780399294
D1M	month	July			0.123053116512749
D1M	month	August			0.0744002440373978
D1M	month	September			0.0897881867220087
D1M	month	October			0.193629877951067
D1M	month	November			0.0795232083420064
D1M	month	December			0.142918996899046
D1M	opti	0	v_opti	1	-0.113282245843125
D1M	opti	0.00100502512562814	v_opti	1	-0.111805708469865
D1M	opti	0.00201005025125628	v_opti	1	-0.110329166469063
D1M	opti	0.00301507537688442	v_opti	1	-0.108852609317685
D1M	opti	0.00402010050251256	v_opti	1	-0.107376020413757
D1M	opti	0.0050251256281407	v_opti	1	-0.105899377497321
D1M	opti	0.00603015075376884	v_opti	1	-0.104422653078383
D1M	opti	0.00703517587939699	v_opti	1	-0.102945814871461
D1M	opti	0.00804020100502513	v_opti	1	-0.101468826236342
D1M	opti	0.00904522613065327	v_opti	1	-0.099991646624591
D1M	opti	0.0100502512562814	v_opti	1	-0.0985142320313319
D1M	opti	0.0110552763819095	v_opti	1	-0.0970365354518033
D1M	opti	0.0120603015075377	v_opti	1	-0.0955585073421301
D1M	opti	0.0130653266331658	v_opti	1	-0.094080096083757
D1M	opti	0.014070351758794	v_opti	1	-0.0926012484509434
D1M	opti	0.0150753768844221	v_opti	1	-0.0911219100807062
D1M	opti	0.0160804020100503	v_opti	1	-0.0896420259445737
D1M	opti	0.0170854271356784	v_opti	1	-0.0881615408214953
D1M	opti	0.0180904522613065	v_opti	1	-0.0866803997712318
D1M	opti	0.0190954773869347	v_opti	1	-0.0851985486075456
D1M	opti	0.0201005025125628	v_opti	1	-0.0837159343704839
D1M	opti	0.021105527638191	v_opti	1	-0.0822325057970496
D1M	opti	0.0221105527638191	v_opti	1	-0.0807482137895387
D1M	opti	0.0231155778894472	v_opti	1	-0.0792630118808189
D1M	opti	0.0241206030150754	v_opti	1	-0.0777768566958171
D1M	opti	0.0251256281407035	v_opti	1	-0.0762897084084812
D1M	opti	0.0261306532663317	v_opti	1	-0.0748015311934828
D1M	opti	0.0271356783919598	v_opti	1	-0.0733122936719194
D1M	opti	0.0281407035175879	v_opti	1	-0.0718219693502886
D1M	opti	0.0291457286432161	v_opti	1	-0.0703305370519965
D1M	opti	0.0301507537688442	v_opti	1	-0.0688379813406817
D1M	opti	0.0311557788944724	v_opti	1	-0.0673442929346301
D1M	opti	0.0321608040201005	v_opti	1	-0.0658494691115723
D1M	opti	0.0331658291457286	v_opti	1	-0.0643535141031645
D1M	opti	0.0341708542713568	v_opti	1	-0.0628564394784571
D1M	opti	0.0351758793969849	v_opti	1	-0.0613582645156782
D1M	opti	0.0361809045226131	v_opti	1	-0.0598590165616668
D1M	opti	0.0371859296482412	v_opti	1	-0.0583587313783055
D1M	opti	0.0381909547738693	v_opti	1	-0.0568574534753213
D1M	opti	0.0391959798994975	v_opti	1	-0.0553552364288398
D1M	opti	0.0402010050251256	v_opti	1	-0.0538521431850953
D1M	opti	0.0412060301507538	v_opti	1	-0.0523482463487215
D1M	opti	0.0422110552763819	v_opti	1	-0.050843628455066
D1M	opti	0.0432160804020101	v_opti	1	-0.0493383822259972
D1M	opti	0.0442211055276382	v_opti	1	-0.0478326108086888
D1M	opti	0.0452261306532663	v_opti	1	-0.0463264279968996
D1M	opti	0.0462311557788945	v_opti	1	-0.0448199584342823
D1M	opti	0.0472361809045226	v_opti	1	-0.0433133377992867
D1M	opti	0.0482412060301508	v_opti	1	-0.0418067129712467
D1M	opti	0.0492462311557789	v_opti	1	-0.0403002421772663
D1M	opti	0.050251256281407	v_opti	1	-0.0387940951195499
D1M	opti	0.0512562814070352	v_opti	1	-0.0372884530828487
D1M	opti	0.0522613065326633	v_opti	1	-0.0357835090217271
D1M	opti	0.0532663316582915	v_opti	1	-0.0342794676273749
D1M	opti	0.0542713567839196	v_opti	1	-0.032776545373732
D1M	opti	0.0552763819095477	v_opti	1	-0.0312749705427138
D1M	opti	0.0562814070351759	v_opti	1	-0.0297749832283585
D1M	opti	0.057286432160804	v_opti	1	-0.0282768353197534
D1M	opti	0.0582914572864322	v_opti	1	-0.0267807904626207
D1M	opti	0.0592964824120603	v_opti	1	-0.0252871239994815
D1M	opti	0.0603015075376884	v_opti	1	-0.0237961228883455
D1M	opti	0.0613065326633166	v_opti	1	-0.0223080855999073
D1M	opti	0.0623115577889447	v_opti	1	-0.0208233219932604
D1M	opti	0.0633165829145729	v_opti	1	-0.0193421531701749
D1M	opti	0.064321608040201	v_opti	1	-0.0178649113080142
D1M	opti	0.0653266331658292	v_opti	1	-0.0163919394714015
D1M	opti	0.0663316582914573	v_opti	1	-0.0149235914027751
D1M	opti	0.0673366834170854	v_opti	1	-0.0134602312920061
D1M	opti	0.0683417085427136	v_opti	1	-0.0120022335252847
D1M	opti	0.0693467336683417	v_opti	1	-0.0105499824135087
D1M	opti	0.0703517587939699	v_opti	1	-0.00910387190044404
D1M	opti	0.071356783919598	v_opti	1	-0.00766430525095529
D1M	opti	0.0723618090452261	v_opti	1	-0.00623169471963509
D1M	opti	0.0733668341708543	v_opti	1	-0.00480646120019194
D1M	opti	0.0743718592964824	v_opti	1	-0.00338903385598722
D1M	opti	0.0753768844221106	v_opti	1	-0.0019798497321382
D1M	opti	0.0763819095477387	v_opti	1	-0.000579353349637299
D1M	opti	0.0773869346733668	v_opti	1	0.000812003718039257
D1M	opti	0.078391959798995	v_opti	1	0.00219376328532594
D1M	opti	0.0793969849246231	v_opti	1	0.00356546101143725
D1M	opti	0.0804020100502513	v_opti	1	0.00492662687315259
D1M	opti	0.0814070351758794	v_opti	1	0.0062767856529333
D1M	opti	0.0824120603015076	v_opti	1	0.00761545744176299
D1M	opti	0.0834170854271357	v_opti	1	0.00894215815607831
D1M	opti	0.0844221105527638	v_opti	1	0.0102564000681323
D1M	opti	0.085427135678392	v_opti	1	0.0115576923491109
D1M	opti	0.0864321608040201	v_opti	1	0.0128455416243
D1M	opti	0.0874371859296482	v_opti	1	0.0141194525395817
D1M	opti	0.0884422110552764	v_opti	1	0.0153789283385126
D1M	opti	0.0894472361809045	v_opti	1	0.0166234714492242
D1M	opti	0.0904522613065327	v_opti	1	0.0178525840803625
D1M	opti	0.0914572864321608	v_opti	1	0.0190657688252671
D1M	opti	0.092462311557789	v_opti	1	0.0202625292735732
D1M	opti	0.0934673366834171	v_opti	1	0.0214423706294075
D1M	opti	0.0944723618090452	v_opti	1	0.0226048003353273
D1M	opti	0.0954773869346734	v_opti	1	0.0237493287011458
D1M	opti	0.0964824120603015	v_opti	1	0.0248754695367689
D1M	opti	0.0974874371859297	v_opti	1	0.0259827407881598
D1M	opti	0.0984924623115578	v_opti	1	0.0270706651755345
D1M	opti	0.0994974874371859	v_opti	1	0.0281387708328851
D1M	opti	0.100502512562814	v_opti	1	0.0291865919479145
D1M	opti	0.101507537688442	v_opti	1	0.0302136694014654
D1M	opti	0.10251256281407	v_opti	1	0.0312195514055109
D1M	opti	0.103517587939699	v_opti	1	0.0322037941387777
D1M	opti	0.104522613065327	v_opti	1	0.0331659623790623
D1M	opti	0.105527638190955	v_opti	1	0.0341056301312999
D1M	opti	0.106532663316583	v_opti	1	0.0350223812504439
D1M	opti	0.107537688442211	v_opti	1	0.0359158100582098
D1M	opti	0.108542713567839	v_opti	1	0.0367855219527412
D1M	opti	0.109547738693467	v_opti	1	0.0376311340102538
D1M	opti	0.110552763819095	v_opti	1	0.0384522755777155
D1M	opti	0.111557788944724	v_opti	1	0.0392485888556248
D1M	opti	0.112562814070352	v_opti	1	0.0400197294699523
D1M	opti	0.11356783919598	v_opti	1	0.0407653670323172
D1M	opti	0.114572864321608	v_opti	1	0.0414851856874724
D1M	opti	0.115577889447236	v_opti	1	0.042178884647187
D1M	opti	0.116582914572864	v_opti	1	0.0428461787096104
D1M	opti	0.117587939698492	v_opti	1	0.0434867987632256
D1M	opti	0.118592964824121	v_opti	1	0.0441004922744964
D1M	opti	0.119597989949749	v_opti	1	0.0446870237583313
D1M	opti	0.120603015075377	v_opti	1	0.0452461752304979
D1M	opti	0.121608040201005	v_opti	1	0.0457777466411294
D1M	opti	0.122613065326633	v_opti	1	0.0462815562884838
D1M	opti	0.123618090452261	v_opti	1	0.0467574412121272
D1M	opti	0.124623115577889	v_opti	1	0.0472052575647285
D1M	opti	0.125628140703518	v_opti	1	0.0476248809616667
D1M	opti	0.126633165829146	v_opti	1	0.0480162068076723
D1M	opti	0.127638190954774	v_opti	1	0.0483791505997359
D1M	opti	0.128643216080402	v_opti	1	0.0487136482055418
D1M	opti	0.12964824120603	v_opti	1	0.0490196561166922
D1M	opti	0.130653266331658	v_opti	1	0.0492971516760235
D1M	opti	0.131658291457286	v_opti	1	0.0495461332783107
D1M	opti	0.132663316582915	v_opti	1	0.0497666205437063
D1M	opti	0.133668341708543	v_opti	1	0.0499586544632535
D1M	opti	0.134673366834171	v_opti	1	0.0501222975158505
D1M	opti	0.135678391959799	v_opti	1	0.0502576337560597
D1M	opti	0.136683417085427	v_opti	1	0.0503647688721761
D1M	opti	0.137688442211055	v_opti	1	0.0504438302139934
D1M	opti	0.138693467336683	v_opti	1	0.050494966789728
D1M	opti	0.139698492462312	v_opti	1	0.0505183492315848
D1M	opti	0.14070351758794	v_opti	1	0.0505141697294681
D1M	opti	0.141708542713568	v_opti	1	0.0504826419323711
D1M	opti	0.142713567839196	v_opti	1	0.0504240008169945
D1M	opti	0.143718592964824	v_opti	1	0.0503385025231677
D1M	opti	0.144723618090452	v_opti	1	0.0502264241556798
D1M	opti	0.14572864321608	v_opti	1	0.0500880635521364
D1M	opti	0.146733668341709	v_opti	1	0.0499237390164919
D1M	opti	0.147738693467337	v_opti	1	0.0497337890179314
D1M	opti	0.148743718592965	v_opti	1	0.0495185718547899
D1M	opti	0.149748743718593	v_opti	1	0.0492784652832313
D1M	opti	0.150753768844221	v_opti	1	0.0490138661104269
D1M	opti	0.151758793969849	v_opti	1	0.048725189751993
D1M	opti	0.152763819095477	v_opti	1	0.0484128697534809
D1M	opti	0.153768844221106	v_opti	1	0.0480773572757207
D1M	opti	0.154773869346734	v_opti	1	0.047719120543856
D1M	opti	0.155778894472362	v_opti	1	0.0473386442599155
D1M	opti	0.15678391959799	v_opti	1	0.0469364289788019
D1M	opti	0.157788944723618	v_opti	1	0.0465129904475861
D1M	opti	0.158793969849246	v_opti	1	0.046068858908027
D1M	opti	0.159798994974874	v_opti	1	0.0456045783622458
D1M	opti	0.160804020100503	v_opti	1	0.0451207058015152
D1M	opti	0.161809045226131	v_opti	1	0.0446178103981284
D1M	opti	0.162814070351759	v_opti	1	0.0440964726603416
D1M	opti	0.163819095477387	v_opti	1	0.0435572835503987
D1M	opti	0.164824120603015	v_opti	1	0.04300084356566
D1M	opti	0.165829145728643	v_opti	1	0.0424277617828712
D1M	opti	0.166834170854271	v_opti	1	0.0418386548656327
D1M	opti	0.1678391959799	v_opti	1	0.041234146035133
D1M	opti	0.168844221105528	v_opti	1	0.0406148640042315
D1M	opti	0.169849246231156	v_opti	1	0.0399814418749776
D1M	opti	0.170854271356784	v_opti	1	0.0393345159996778
D1M	opti	0.171859296482412	v_opti	1	0.0386747248056229
D1M	opti	0.17286432160804	v_opti	1	0.0380027075835979
D1M	opti	0.173869346733668	v_opti	1	0.0373191032403129
D1M	opti	0.174874371859296	v_opti	1	0.0366245490148839
D1M	opti	0.175879396984925	v_opti	1	0.0359196791595265
D1M	opti	0.176884422110553	v_opti	1	0.0352051235845923
D1M	opti	0.177889447236181	v_opti	1	0.0344815064681201
D1M	opti	0.178894472361809	v_opti	1	0.0337494448300493
