platform,account_name,dv01_id,as_of_date,loan_term_orig,loan_origination_date,loan_payment_date_first_contractual,loan_maturity_date_orig,loan_age,rem_term,fico_orig,home_ownership,inquiries_last_6_months,delinq_accts_2_years,number_tl_open_last_12_months,annual_inc,annual_inc_verified,credit_age,bc_utilization,revolving_utilization,state_borr,employ_status,job_length,loan_purpose,loan_rate_gross_orig,apr,eop_status,dti_orig,loan_grade,loan_ever_modified,loan_balance_orig,eop_balance,loan_payment_scheduled_amt_orig,pti_orig,dti_plus_pti_orig,eop_days_past_due
Prosper,PAR_2026_1,2468882,12/31/2025,60,12/17/2025,1/17/2026,12/17/2030,0,60,697,,,,,,No,,,,,,,Debt Consolidation,0.2861,0.02384,Current,0.4166,PP-E,1,3000,3000,94.51,,0.4166,0
Prosper,PAR_2026_1,2481217,12/31/2025,60,12/30/2025,1/30/2026,12/30/2030,0,60,650,,,,,,No,,,,,,,Debt Consolidation,0.1,0.00833,Current,0.154,PP-A,0,12000,12000,254.96,,0.154,0
Prosper,PAR_2026_1,2466719,12/31/2025,60,12/15/2025,1/15/2026,12/15/2030,0,60,704,,,,,,No,,,,,,,Debt Consolidation,0.2056,0.01713,Current,0.177,PP-D,0,15553.83,15553.83,416.94,,0.177,0
Prosper,PAR_2026_1,2469129,12/31/2025,60,12/18/2025,1/18/2026,12/18/2030,0,60,640,,,,,,No,,,,,,,Other,0.1038,0.00865,Current,0.244,PP-A,0,10000,10000,214.35,,0.244,0
Prosper,PAR_2026_1,2463425,12/31/2025,60,12/9/2025,1/9/2026,12/9/2030,0,60,645,,,,,,No,,,,,,,Debt Consolidation,0.2999,0.02499,Current,0.1041,PP-E,0,12000,12000,388.17,,0.1041,0
Prosper,PAR_2026_1,2468037,12/31/2025,60,12/16/2025,1/16/2026,12/16/2030,0,60,800,,,,,,No,,,,,,,Debt Consolidation,0.1155,0.00963,Current,0.5161,PP-A,0,7000,7000,154.12,,0.5161,0
Prosper,PAR_2026_1,2467590,12/31/2025,36,12/16/2025,1/16/2026,12/16/2028,0,36,666,,,,,,No,,,,,,,Debt Consolidation,0.277,0.02308,Current,0.1618,PP-E,1,4000,4000,164.81,,0.1618,0
Prosper,PAR_2026_1,2475589,12/31/2025,60,12/18/2025,1/18/2026,12/18/2030,0,60,713,,,,,,No,,,,,,,Debt Consolidation,0.0945,0.00788,Current,0.2034,PP-A,0,22823.61,22823.61,478.78,,0.2034,0
Prosper,PAR_2026_1,2460047,12/31/2025,36,12/3/2025,1/3/2026,12/3/2028,0,36,669,,,,,,No,,,,,,,Debt Consolidation,0.1102,0.00918,Current,0.1177,PP-B,0,10987.8,10987.8,359.83,,0.1177,0
Prosper,PAR_2026_1,2471613,12/31/2025,60,12/23/2025,1/23/2026,12/23/2030,0,60,732,,,,,,No,,,,,,,Debt Consolidation,0.1409,0.01174,Current,0.3818,PP-B,0,14284.14,14284.14,333.03,,0.3818,0
Prosper,PAR_2026_1,2462663,12/31/2025,60,12/9/2025,1/9/2026,12/9/2030,0,60,607,,,,,,No,,,,,,,Debt Consolidation,0.3025,0.02521,Current,0.1649,PP-E,1,4500,4500,146.28,,0.1649,0
Prosper,PAR_2026_1,2473256,12/31/2025,60,12/24/2025,1/24/2026,12/24/2030,0,60,734,,,,,,No,,,,,,,Home Improvement,0.126,0.0105,Current,0.1083,PP-A,0,16302.58,16302.58,367.6,,0.1083,0
Prosper,PAR_2026_1,2472210,12/31/2025,36,12/23/2025,1/23/2026,12/23/2028,0,36,678,,,,,,No,,,,,,,Debt Consolidation,0.1894,0.01578,Current,0.3523,PP-D,1,11109.88,11109.88,406.91,,0.3523,0
Prosper,PAR_2026_1,2470576,12/31/2025,60,12/11/2025,1/11/2026,12/11/2030,0,60,636,,,,,,No,,,,,,,Debt Consolidation,0.2779,0.02316,Current,0.2082,PP-E,0,12500,12500,387.62,,0.2082,0
Prosper,PAR_2026_1,2464017,12/31/2025,60,12/10/2025,1/10/2026,12/10/2030,0,60,653,,,,,,No,,,,,,,Debt Consolidation,0.136,0.01133,Current,0.1186,PP-B,0,19228.66,19228.66,443.44,,0.1186,0
Prosper,PAR_2026_1,2462705,12/31/2025,60,12/9/2025,1/9/2026,12/9/2030,0,60,730,,,,,,No,,,,,,,Home Improvement,0.0865,0.00721,Current,0.1277,PP-AA,0,8694.71,8694.71,179.01,,0.1277,0
Prosper,PAR_2026_1,2465221,12/31/2025,60,12/2/2025,1/2/2026,12/2/2030,0,60,780,,,,,,No,,,,,,,Debt Consolidation,0.2058,0.01715,Current,0.233,PP-C,1,32000,32000,858.16,,0.233,0
Prosper,PAR_2026_1,2463530,12/31/2025,60,12/9/2025,1/9/2026,12/9/2030,0,60,691,,,,,,No,,,,,,,Debt Consolidation,0.0888,0.0074,Current,0.2605,PP-A,0,16302.58,16302.58,337.47,,0.2605,0
Prosper,PAR_2026_1,2476188,12/31/2025,60,12/31/2025,1/31/2026,12/31/2030,0,60,707,,,,,,No,,,,,,,Debt Consolidation,0.0987,0.00823,Current,0.1556,PP-A,1,31518.31,31518.31,667.66,,0.1556,0
