Status	term	grade	C	D1M	D2M	D3M	D4M	PIF	LIQ
C	36	0.0-1.9	1.0	0.564000	1.0	1.0	1.0	1.503000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.503000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.503000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.503000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.503000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.503000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.503000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.503000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.564000	1.0	1.0	1.0	1.000000	1.0
