Status	term	grade	C	D1M	D2M	D3M	D4M	PIF	LIQ
C	36	UP-D	1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
			1.0	1.29	1.0	1.0	1.0	1.0	1.0
