vint_moyy,fico_bkt,fico_bkt_coupon
201309,[0-620),0.222588416988417
201309,[620-650),0.228284047636994
201309,[650-680),0.195484061176524
201309,[680-710),0.172138916886141
201309,[710-750),0.143373744902319
201309,[750+),0.114123894402972
201310,[0-620),0.222588416988417
201310,[620-650),0.232804340336285
201310,[650-680),0.194554771422198
201310,[680-710),0.170856840094668
201310,[710-750),0.146674387593253
201310,[750+),0.105922151894037
201311,[0-620),0.222588416988417
201311,[620-650),0.217560612488844
201311,[650-680),0.189299541203649
201311,[680-710),0.165718581405865
201311,[710-750),0.137973748411474
201311,[750+),0.10248381797072
201312,[0-620),0.222588416988417
201312,[620-650),0.208122507766664
201312,[650-680),0.183880734902448
201312,[680-710),0.155685029501152
201312,[710-750),0.131623875952117
201312,[750+),0.102488930437993
201401,[620-650),0.203813944098418
201401,[650-680),0.177493567436482
201401,[680-710),0.147241813798365
201401,[710-750),0.124309670652151
201401,[750+),0.0979166848840708
201402,[620-650),0.197931034402597
201402,[650-680),0.173995286799084
201402,[680-710),0.148302819975993
201402,[710-750),0.121885157192515
201402,[750+),0.0966030001350044
201403,[620-650),0.200276466960714
201403,[650-680),0.174197654654613
201403,[680-710),0.146546023197532
201403,[710-750),0.122521081477447
201403,[750+),0.0943587547928845
201404,[620-650),0.193508716706639
201404,[650-680),0.169024228465184
201404,[680-710),0.145037262051621
201404,[710-750),0.121960125081401
201404,[750+),0.0978132761632238
201405,[620-650),0.190305533158784
201405,[650-680),0.163091893414296
201405,[680-710),0.142159068322511
201405,[710-750),0.12295637487528
201405,[750+),0.0981114953007351
201406,[620-650),0.193243784368769
201406,[650-680),0.170803286156254
201406,[680-710),0.147704618800511
201406,[710-750),0.128285556402705
201406,[750+),0.101517860902729
201407,[620-650),0.194141354545708
201407,[650-680),0.170164476476764
201407,[680-710),0.147671661981659
201407,[710-750),0.128739917835593
201407,[750+),0.103112092889689
201408,[620-650),0.194636169435112
201408,[650-680),0.17192869380656
201408,[680-710),0.14639597220942
201408,[710-750),0.126545685683742
201408,[750+),0.101920731722807
201409,[620-650),0.193171452405907
201409,[650-680),0.172140256923162
201409,[680-710),0.146246462462969
201409,[710-750),0.12872413317265
201409,[750+),0.101868338132581
201410,[620-650),0.194629831930898
201410,[650-680),0.17445260910912
201410,[680-710),0.147548779622073
201410,[710-750),0.129024671300833
201410,[750+),0.104425061646959
201411,[620-650),0.195035308953299
201411,[650-680),0.172777303073
201411,[680-710),0.144987315954839
201411,[710-750),0.127296423770997
201411,[750+),0.101305864260426
201412,[620-650),0.181546620122159
201412,[650-680),0.165128080774236
201412,[680-710),0.135620703851871
201412,[710-750),0.119315704888331
201412,[750+),0.0986068856290439
201501,[620-650),0.182687751406747
201501,[650-680),0.162073603290373
201501,[680-710),0.135001717681366
201501,[710-750),0.119714912207233
201501,[750+),0.0968920650838321
201502,[620-650),0.180762111859234
201502,[650-680),0.162083502279254
201502,[680-710),0.138074641964088
201502,[710-750),0.120300248566879
201502,[750+),0.0972568536060582
201503,[620-650),0.176035785424326
201503,[650-680),0.158707903805567
201503,[680-710),0.13227439838079
201503,[710-750),0.117413357432995
201503,[750+),0.0941136779294579
