source_platform,vint_moyy,fico_bkt,fico_bkt_coupon
Marlette,201403,[650-680),0.193961135371179
Marlette,201403,[680-710),0.152679922779923
Marlette,201403,[710-750),0.126647572815534
Marlette,201403,[750+),0.109200746268657
Marlette,201404,[650-680),0.180309165302782
Marlette,201404,[680-710),0.1565036266548
Marlette,201404,[710-750),0.125610290810343
Marlette,201404,[750+),0.108940494773711
Marlette,201405,[650-680),0.181887399499143
Marlette,201405,[680-710),0.161070465255762
Marlette,201405,[710-750),0.135594131771023
Marlette,201405,[750+),0.107647592169736
Marlette,201406,[620-650),0.2599
Marlette,201406,[650-680),0.208424213257547
Marlette,201406,[680-710),0.174521853063736
Marlette,201406,[710-750),0.149279348781949
Marlette,201406,[750+),0.111282093632903
Marlette,201407,[620-650),0.2725
Marlette,201407,[650-680),0.20506014410456
Marlette,201407,[680-710),0.183134262511718
Marlette,201407,[710-750),0.151886395431878
Marlette,201407,[750+),0.114659683570893
Marlette,201408,[620-650),0.262123533820498
Marlette,201408,[650-680),0.204603245148849
Marlette,201408,[680-710),0.168159347388581
Marlette,201408,[710-750),0.13906514882293
Marlette,201408,[750+),0.113204816486006
Marlette,201409,[620-650),0.262383899176955
Marlette,201409,[650-680),0.200686201232643
Marlette,201409,[680-710),0.170258252163755
Marlette,201409,[710-750),0.142876009969778
Marlette,201409,[750+),0.112785062091285
Marlette,201410,[620-650),0.267917023809524
Marlette,201410,[650-680),0.201093513835699
Marlette,201410,[680-710),0.168655965569043
Marlette,201410,[710-750),0.138825416702508
Marlette,201410,[750+),0.112028622436717
Marlette,201411,[620-650),0.27138357313436
Marlette,201411,[650-680),0.199828570244524
Marlette,201411,[680-710),0.164234369519668
Marlette,201411,[710-750),0.136562113729553
Marlette,201411,[750+),0.106376419596626
Marlette,201412,[620-650),0.270341028200649
Marlette,201412,[650-680),0.19883355041143
Marlette,201412,[680-710),0.158210669139375
Marlette,201412,[710-750),0.134402922576031
Marlette,201412,[750+),0.104180429584348
Marlette,201501,[620-650),0.267029296875
Marlette,201501,[650-680),0.193171132198335
Marlette,201501,[680-710),0.162111374936958
Marlette,201501,[710-750),0.133077086836959
Marlette,201501,[750+),0.103780352896222
Marlette,201502,[620-650),0.264609123883929
Marlette,201502,[650-680),0.1915176932959
Marlette,201502,[680-710),0.161866492894057
Marlette,201502,[710-750),0.131978197641174
