loan_id,path,_per,_from,_to,account_name,annual_inc_verified,employed_f,f_pmt_dt,grade,hm_owner,loan_maturity_date_orig,month,month_group,orig_dt,oterm_f,platform_f,purpose,r_dt,status,term_fico,adj_balance_cpi,age,age_fc,age_pct,apr,c_age_pct,c_credit_age,cpi_inflator_12,cpi_inflator_36,credit_age,days_to_month_end,dti_orig,dti_plus_pti_orig,end_bal,eop_days_past_due,int_rate,loan_age,loan_ever_modified,loan_id,loan_payment_scheduled_amt_orig,note_rate,ofico,opti,orig_bal,pmt_day,rate_incentive_ALL,rel_fico_ratio_ALL,rem_term,term,v_credit_age,v_ofico,v_opti,v_rate_incentive_ALL,v_rel_fico_ratio_ALL,fromC_D1M,fromC_D2M,fromC_D3M,fromC_D4M,fromC_LIQ,fromC_PIF,fromC_stay,fromD1M_C,fromD1M_D2M,fromD1M_D3M,fromD1M_D4M,fromD1M_LIQ,fromD1M_PIF,fromD1M_stay,fromD2M_C,fromD2M_D1M,fromD2M_D3M,fromD2M_D4M,fromD2M_LIQ,fromD2M_PIF,fromD2M_stay,fromD3M_C,fromD3M_D1M,fromD3M_D2M,fromD3M_D4M,fromD3M_LIQ,fromD3M_PIF,fromD3M_stay,_begin_bal,_end_bal,_note_rate,_pi_pmt,_num_pay,_int_pmt,_prin_pmt,_loss
2460047,0,0,C,C,PAR_2026_1,No,Missing,1/3/2026,PP-B,Missing,12/3/2028,December,30_Day,12/3/2025,36,Prosper,Debt Consol,2025-12-31,C,36.[650-680),33.9073,0,0,0,0.00918,0,0,0.0268,0.0918,0,28,0.1177,0.1177,10987.8,0,0.1102,0,0,2460047,359.83,0.1102,669,0,10987.8,3,0,0.5905,36,36,0,1,0,1,1,8.3304074e-05,0,0,0,0,0.0081068047,0.99180989,,,,,,,,,,,,,,,,,,,,,,10987.8,10728.874,0.1102,359.83055,1,100.90463,258.92592,0
2460047,0,1,C,C,PAR_2026_1,No,Missing,1/3/2026,PP-B,Missing,12/3/2028,January,30_Day,12/3/2025,36,Prosper,Debt Consol,2026-01-31,C,36.[650-680),33.9073,1,0.027777778,0.027777778,0.00918,0.027777778,0,0.0268,0.0918,0,28,0.1177,0.1177,10728.874,0,0.1102,1,0,2460047,359.83,0.1102,669,0,10987.8,3,0,0.5905,36,36,0,1,0,1,1,0.00066974042,0,0,0,0,0.0091836865,0.99014657,,,,,,,,,,,,,,,,,,,,,,10728.874,10467.57,0.1102,359.83055,1,98.526827,261.30373,0
2460047,0,2,C,C,PAR_2026_1,No,Missing,1/3/2026,PP-B,Missing,12/3/2028,February,30_Day,12/3/2025,36,Prosper,Debt Consol,2026-02-28,C,36.[650-680),33.9073,2,0.055555556,0.055555556,0.00918,0.055555556,0,0.0268,0.0918,0,25,0.1177,0.1177,10467.57,0,0.1102,2,0,2460047,359.83,0.1102,669,0,10987.8,3,0,0.5905,36,36,0,1,0,1,1,0.0017520239,0,0,0,0,0.010234281,0.9880137,,,,,,,,,,,,,,,,,,,,,,10467.57,10203.867,0.1102,359.83055,1,96.127188,263.70337,0
2460047,0,3,C,C,PAR_2026_1,No,Missing,1/3/2026,PP-B,Missing,12/3/2028,March,30_Day,12/3/2025,36,Prosper,Debt Consol,2026-03-31,C,36.[650-680),33.9073,3,0.083333333,0.083333333,0.00918,0.083333333,0,0.0268,0.0918,0,28,0.1177,0.1177,10203.867,0,0.1102,3,0,2460047,359.83,0.1102,669,0,10987.8,3,0,0.5905,36,36,0,1,0,1,1,0.0023858746,0,0,0,0,0.013136331,0.98447779,,,,,,,,,,,,,,,,,,,,,,10203.867,9937.7419,0.1102,359.83055,1,93.705512,266.12504,0
2460047,0,4,C,C,PAR_2026_1,No,Missing,1/3/2026,PP-B,Missing,12/3/2028,April,30_Day,12/3/2025,36,Prosper,Debt Consol,2026-04-30,C,36.[650-680),33.9073,4,0.11111111,0.11111111,0.00918,0.11111111,0,0.0268,0.0918,0,27,0.1177,0.1177,9937.7419,0,0.1102,4,0,2460047,359.83,0.1102,669,0,10987.8,3,0,0.5905,36,36,0,1,0,1,1,0.0026057473,0,0,0,0,0.012842218,0.98455203,,,,,,,,,,,,,,,,,,,,,,9937.7419,9669.173,0.1102,359.83055,1,91.261597,268.56896,0
2460047,0,5,C,PIF,PAR_2026_1,No,Missing,1/3/2026,PP-B,Missing,12/3/2028,May,30_Day,12/3/2025,36,Prosper,Debt Consol,2026-05-31,C,36.[650-680),33.9073,5,0.13888889,0.13888889,0.00918,0.13888889,0,0.0268,0.0918,0,28,0.1177,0.1177,9669.173,0,0.1102,5,0,2460047,359.83,0.1102,669,0,10987.8,3,0,0.5905,36,36,0,1,0,1,1,0.0031921276,0,0,0,0,0.013856971,0.9829509,,,,,,,,,,,,,,,,,,,,,,9669.173,0,0.1102,359.83055,-1,88.795239,9669.173,0
2460047,1,0,C,C,PAR_2026_1,No,Missing,1/3/2026,PP-B,Missing,12/3/2028,December,30_Day,12/3/2025,36,Prosper,Debt Consol,2025-12-31,C,36.[650-680),33.9073,0,0,0,0.00918,0,0,0.0268,0.0918,0,28,0.1177,0.1177,10987.8,0,0.1102,0,0,2460047,359.83,0.1102,669,0,10987.8,3,0,0.5905,36,36,0,1,0,1,1,8.3304074e-05,0,0,0,0,0.0081068047,0.99180989,,,,,,,,,,,,,,,,,,,,,,10987.8,10728.874,0.1102,359.83055,1,100.90463,258.92592,0
2460047,1,1,C,C,PAR_2026_1,No,Missing,1/3/2026,PP-B,Missing,12/3/2028,January,30_Day,12/3/2025,36,Prosper,Debt Consol,2026-01-31,C,36.[650-680),33.9073,1,0.027777778,0.027777778,0.00918,0.027777778,0,0.0268,0.0918,0,28,0.1177,0.1177,10728.874,0,0.1102,1,0,2460047,359.83,0.1102,669,0,10987.8,3,0,0.5905,36,36,0,1,0,1,1,0.00066974042,0,0,0,0,0.0091836865,0.99014657,,,,,,,,,,,,,,,,,,,,,,10728.874,10467.57,0.1102,359.83055,1,98.526827,261.30373,0
2460047,1,2,C,C,PAR_2026_1,No,Missing,1/3/2026,PP-B,Missing,12/3/2028,February,30_Day,12/3/2025,36,Prosper,Debt Consol,2026-02-28,C,36.[650-680),33.9073,2,0.055555556,0.055555556,0.00918,0.055555556,0,0.0268,0.0918,0,25,0.1177,0.1177,10467.57,0,0.1102,2,0,2460047,359.83,0.1102,669,0,10987.8,3,0,0.5905,36,36,0,1,0,1,1,0.0017520239,0,0,0,0,0.010234281,0.9880137,,,,,,,,,,,,,,,,,,,,,,10467.57,10203.867,0.1102,359.83055,1,96.127188,263.70337,0
2460047,1,3,C,C,PAR_2026_1,No,Missing,1/3/2026,PP-B,Missing,12/3/2028,March,30_Day,12/3/2025,36,Prosper,Debt Consol,2026-03-31,C,36.[650-680),33.9073,3,0.083333333,0.083333333,0.00918,0.083333333,0,0.0268,0.0918,0,28,0.1177,0.1177,10203.867,0,0.1102,3,0,2460047,359.83,0.1102,669,0,10987.8,3,0,0.5905,36,36,0,1,0,1,1,0.0023858746,0,0,0,0,0.013136331,0.98447779,,,,,,,,,,,,,,,,,,,,,,10203.867,9937.7419,0.1102,359.83055,1,93.705512,266.12504,0
